"Id","Isc [mA/cm^2]","Voc [mV]","FF","Efficiency [%]","SnO2_Rpm","Spiro_Des","Device_ID","Finger","Frwd-Rev","Date"
"1","22.215","1020","0.6644","15.054","3500","6","DEV_001","2","F","2026-01-01"
"2","22.395","1020","0.6738","15.392","3500","6","DEV_001","2","R","2026-01-01"
"3","20.184","980","0.6120","12.102","3500","3","DEV_002","3","F","2026-01-02"
"4","19.925","975","0.5980","11.620","3500","3","DEV_002","3","R","2026-01-02"
"5","23.741","1030","0.6910","16.894","4000","6","DEV_003","4","F","2026-01-03"
"6","23.602","1035","0.6860","16.760","4000","6","DEV_003","4","R","2026-01-03"
"7","24.015","1040","0.6930","17.322","4500","6","DEV_004","5","F","2026-01-04"
"8","23.884","1035","0.6870","16.978","4500","6","DEV_004","5","R","2026-01-04"
"9","22.706","1015","0.6510","15.004","4750","3","DEV_005","2","F","2026-01-05"
"10","22.485","1010","0.6430","14.610","4750","3","DEV_005","2","R","2026-01-05"
"11","21.116","995","0.6090","12.790","4000","18","DEV_006","1","F","2026-01-06"
"12","20.982","990","0.6040","12.540","4000","18","DEV_006","1","R","2026-01-06"
"13","20.315","970","0.5750","11.332","4500","18","DEV_007","3","F","2026-01-07"
"14","19.874","960","0.5510","10.516","4500","18","DEV_007","3","R","2026-01-07"
"15","18.920","940","0.5060","9.001","5000","24","DEV_008","4","F","2026-01-08"
"16","19.244","945","0.5220","9.493","5000","24","DEV_008","4","R","2026-01-08"
