recommendation_source,SnO2_Rpm,Spiro_Oxid_Dur,predicted_max_efficiency,uncertainty,expected_improvement,ucb_beta_1_96,ensemble_mean_prediction,ensemble_upper_score,rationale
EI-diverse,3600.0,6.0,16.261727297826127,0.8014735337039958,0.03382913089677746,17.832615423885958,,,High Expected Improvement from GPR surrogate.
EI-diverse,3500.0,3.0,15.864736553428843,0.8157229743658094,0.011682266268803844,17.463553583185828,,,High Expected Improvement from GPR surrogate.
EI-diverse,4300.0,17.5,15.526368519242538,0.9673912104922429,0.011661030098885791,17.422455291807335,,,High Expected Improvement from GPR surrogate.
EI-diverse,4200.0,18.5,15.526368519242537,0.9673912104922429,0.011661030098885743,17.42245529180733,,,High Expected Improvement from GPR surrogate.
EI-diverse,3700.0,4.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,,,High Expected Improvement from GPR surrogate.
Predicted-efficiency-diverse,4650.0,3.0,15.86473740490159,0.8157223915918238,0.011682250832567555,17.463553292421565,,,High GPR predicted max efficiency under diversity constraints.
Predicted-efficiency-diverse,4300.0,18.0,15.608906332285907,0.8014732571391079,0.00451200539987132,17.17979391627856,,,High GPR predicted max efficiency under diversity constraints.
Predicted-efficiency-diverse,3500.0,4.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,,,High GPR predicted max efficiency under diversity constraints.
Predicted-efficiency-diverse,3700.0,5.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,,,High GPR predicted max efficiency under diversity constraints.
Ensemble-upper-diverse,4050.0,5.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,16.417608362573105,17.048843987090873,High ensemble upper score across candidate-screening models.
Ensemble-upper-diverse,4300.0,7.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,16.404743918128663,17.026182691406962,High ensemble upper score across candidate-screening models.
Ensemble-upper-diverse,4200.0,6.0,16.261726487657995,0.8014732571391079,0.0338290120365909,17.832614071650646,16.63146216255267,16.89291385454358,High ensemble upper score across candidate-screening models.
Ensemble-upper-diverse,4650.0,8.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,16.253856140350887,16.803729493896018,High ensemble upper score across candidate-screening models.
Ensemble-upper-diverse,4400.0,9.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,16.23421058479533,16.790785160360556,High ensemble upper score across candidate-screening models.
