SnO2_Rpm,Spiro_Oxid_Dur,count,mean_efficiency,max_efficiency,std_efficiency,min_efficiency,median_efficiency
4500,6,20,16.21455,17.322,1.476985531590041,11.873,16.6845
4000,6,18,16.11188888888889,17.253,1.0368823683290371,12.861,16.207
3500,6,14,15.556357142857141,16.332,0.40076093144894287,15.052,15.536000000000001
4750,3,58,13.78101724137931,16.223,1.4813102721930114,11.092,14.0515
4500,18,18,15.209444444444443,16.217,0.7558187786392914,14.219,14.968499999999999
4500,3,56,13.762928571428573,15.954,1.4514287739032485,11.314,14.123999999999999
4250,3,47,14.586425531914895,15.882,0.890280286707039,11.126,14.652
4500,12,13,14.654538461538461,15.594,1.0076784883569931,11.862,14.991
3500,18,16,14.3290625,15.588,1.0786638320162583,12.17,14.409500000000001
5000,24,17,14.299117647058823,15.522,1.2647656839486585,11.278,14.448
4500,24,20,14.74185,15.439,0.37614530716900224,13.887,14.747
4000,18,19,13.031315789473684,15.414,1.5091743531050927,11.121,13.748
5000,18,15,13.951133333333333,15.33,1.1092270710896377,11.977,13.976
5000,6,9,14.422666666666666,15.15,0.7854134261648452,12.557,14.472
3500,24,10,13.7329,15.136,1.0716270547370688,12.658,13.179
3500,12,16,14.0621875,14.825,0.6417959404410929,12.963,14.258
4000,24,10,14.1624,14.704,0.5381383960779366,13.399,14.341999999999999
5000,12,16,13.5283125,14.074,0.33239849954535017,12.83,13.559
4000,12,14,12.3595,13.042,0.5119182251402749,11.292,12.3945
