rank,SnO2_Rpm,Spiro_Oxid_Dur,predicted_max_efficiency,uncertainty,expected_improvement,ucb_beta_1_96,nearest_existing_condition,nearest_existing_SnO2_Rpm,nearest_existing_Spiro_Oxid_Dur,delta_SnO2_Rpm,delta_Spiro_Oxid_Dur,distance_to_nearest_existing_condition
1,3600.0,6.0,16.261727297826127,0.8014735337039958,0.03382913089677746,17.832615423885958,"SnO2_Rpm=3500, Spiro_Oxid_Dur=6.00",3500.0,6.0,100.0,0.0,0.06666666666666643
2,3500.0,3.0,15.864736553428843,0.8157229743658094,0.011682266268803844,17.463553583185828,"SnO2_Rpm=3500, Spiro_Oxid_Dur=6.00",3500.0,6.0,0.0,-3.0,0.14285714285714285
3,4300.0,17.5,15.526368519242538,0.9673912104922429,0.011661030098885791,17.422455291807335,"SnO2_Rpm=4500, Spiro_Oxid_Dur=18.00",4500.0,18.0,-200.0,-0.5,0.1354425014602656
4,4200.0,18.5,15.526368519242537,0.9673912104922429,0.011661030098885743,17.42245529180733,"SnO2_Rpm=4000, Spiro_Oxid_Dur=18.00",4000.0,18.0,200.0,0.5,0.1354425014602656
5,3700.0,4.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=3500, Spiro_Oxid_Dur=6.00",3500.0,6.0,200.0,-2.0,0.1638538146103357
6,3800.0,5.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4000, Spiro_Oxid_Dur=6.00",4000.0,6.0,-200.0,-1.0,0.14158160711731907
7,3900.0,7.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4000, Spiro_Oxid_Dur=6.00",4000.0,6.0,-100.0,1.0,0.08192690730516768
8,4000.0,8.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4000, Spiro_Oxid_Dur=6.00",4000.0,6.0,0.0,2.0,0.09523809523809523
9,4100.0,9.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4000, Spiro_Oxid_Dur=6.00",4000.0,6.0,100.0,3.0,0.15764709864044626
10,4400.0,10.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4500, Spiro_Oxid_Dur=12.00",4500.0,12.0,-100.0,-2.0,0.11625291062603538
11,4500.0,11.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4500, Spiro_Oxid_Dur=12.00",4500.0,12.0,0.0,-1.0,0.04761904761904756
12,4600.0,13.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4500, Spiro_Oxid_Dur=12.00",4500.0,12.0,100.0,1.0,0.08192690730516808
13,4700.0,14.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4500, Spiro_Oxid_Dur=12.00",4500.0,12.0,200.0,2.0,0.1638538146103357
14,4800.0,15.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=5000, Spiro_Oxid_Dur=18.00",5000.0,18.0,-200.0,-3.0,0.1954122336065065
15,4900.0,16.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=5000, Spiro_Oxid_Dur=18.00",5000.0,18.0,-100.0,-2.0,0.11625291062603538
16,5000.0,19.5,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=5000, Spiro_Oxid_Dur=18.00",5000.0,18.0,0.0,1.5,0.07142857142857151
