rank,SnO2_Rpm,Spiro_Oxid_Dur,predicted_max_efficiency,uncertainty,expected_improvement,ucb_beta_1_96,nearest_existing_condition,nearest_existing_SnO2_Rpm,nearest_existing_Spiro_Oxid_Dur,delta_SnO2_Rpm,delta_Spiro_Oxid_Dur,distance_to_nearest_existing_condition,ensemble_mean_prediction,ensemble_upper_score
1,4050.0,5.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4000, Spiro_Oxid_Dur=6.00",4000.0,6.0,50.0,-1.0,0.05812645531301782,16.417608362573105,17.048843987090873
2,4300.0,7.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4500, Spiro_Oxid_Dur=6.00",4500.0,6.0,-200.0,1.0,0.14158160711731907,16.404743918128663,17.026182691406962
3,4200.0,6.0,16.261726487657995,0.8014732571391079,0.0338290120365909,17.832614071650646,"SnO2_Rpm=4000, Spiro_Oxid_Dur=6.00",4000.0,6.0,200.0,0.0,0.1333333333333333,16.63146216255267,16.89291385454358
4,4650.0,8.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4500, Spiro_Oxid_Dur=6.00",4500.0,6.0,150.0,2.0,0.13809523809523816,16.253856140350887,16.803729493896018
5,4400.0,9.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4500, Spiro_Oxid_Dur=6.00",4500.0,6.0,-100.0,3.0,0.15764709864044626,16.23421058479533,16.790785160360556
6,4550.0,4.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4500, Spiro_Oxid_Dur=3.00",4500.0,3.0,50.0,1.0,0.058126455313017564,16.042930584795325,16.442523493293375
7,3800.0,3.0,15.864736930712631,0.8157226703101245,0.01168225580240869,17.463553364520475,"SnO2_Rpm=4000, Spiro_Oxid_Dur=6.00",4000.0,6.0,-200.0,-3.0,0.19541223360650656,16.149516754681986,16.407289837255863
8,4750.0,19.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4500, Spiro_Oxid_Dur=18.00",4500.0,18.0,250.0,1.0,0.17333594974477412,15.719636140350877,15.890989016998592
9,3500.0,13.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=3500, Spiro_Oxid_Dur=12.00",3500.0,12.0,0.0,1.0,0.04761904761904767,15.226546140350857,15.690210555159705
10,4900.0,18.0,15.608906281337203,0.8014735337039958,0.004512015536163816,17.179794407397036,"SnO2_Rpm=5000, Spiro_Oxid_Dur=18.00",5000.0,18.0,-100.0,0.0,0.06666666666666687,15.571496538223501,15.686342470628263
11,5000.0,20.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=5000, Spiro_Oxid_Dur=18.00",5000.0,18.0,0.0,2.0,0.09523809523809523,15.562163918128642,15.655166585592871
12,3600.0,21.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=3500, Spiro_Oxid_Dur=24.00",3500.0,24.0,100.0,-3.0,0.15764709864044602,15.385749473684223,15.558339336230024
13,3700.0,15.5,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=3500, Spiro_Oxid_Dur=18.00",3500.0,18.0,200.0,-2.5,0.1787459464678424,15.422707251461999,15.529553473234778
14,3900.0,10.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4000, Spiro_Oxid_Dur=12.00",4000.0,12.0,-100.0,-2.0,0.11625291062603513,14.799135029239755,15.51189931470954
