rank,SnO2_Rpm,Spiro_Oxid_Dur,predicted_max_efficiency,uncertainty,expected_improvement,ucb_beta_1_96,nearest_existing_condition,nearest_existing_SnO2_Rpm,nearest_existing_Spiro_Oxid_Dur,delta_SnO2_Rpm,delta_Spiro_Oxid_Dur,distance_to_nearest_existing_condition
1,3600.0,6.0,16.261727297826127,0.8014735337039958,0.03382913089677746,17.832615423885958,"SnO2_Rpm=3500, Spiro_Oxid_Dur=6.00",3500.0,6.0,100.0,0.0,0.06666666666666643
2,4650.0,3.0,15.86473740490159,0.8157223915918238,0.011682250832567555,17.463553292421565,"SnO2_Rpm=4750, Spiro_Oxid_Dur=3.00",4750.0,3.0,-100.0,0.0,0.06666666666666643
3,4300.0,18.0,15.608906332285907,0.8014732571391079,0.00451200539987132,17.17979391627856,"SnO2_Rpm=4500, Spiro_Oxid_Dur=18.00",4500.0,18.0,-200.0,0.0,0.1333333333333333
4,3500.0,4.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=3500, Spiro_Oxid_Dur=6.00",3500.0,6.0,0.0,-2.0,0.09523809523809523
5,3700.0,5.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=3500, Spiro_Oxid_Dur=6.00",3500.0,6.0,200.0,-1.0,0.14158160711731907
6,3800.0,7.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4000, Spiro_Oxid_Dur=6.00",4000.0,6.0,-200.0,1.0,0.14158160711731907
7,3900.0,8.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4000, Spiro_Oxid_Dur=6.00",4000.0,6.0,-100.0,2.0,0.11625291062603513
8,4000.0,9.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4000, Spiro_Oxid_Dur=6.00",4000.0,6.0,0.0,3.0,0.14285714285714285
9,4100.0,10.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4000, Spiro_Oxid_Dur=12.00",4000.0,12.0,100.0,-2.0,0.11625291062603538
10,4200.0,11.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4000, Spiro_Oxid_Dur=12.00",4000.0,12.0,200.0,-1.0,0.14158160711731907
11,4400.0,13.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4500, Spiro_Oxid_Dur=12.00",4500.0,12.0,-100.0,1.0,0.08192690730516808
12,4500.0,14.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4500, Spiro_Oxid_Dur=12.00",4500.0,12.0,0.0,2.0,0.09523809523809523
13,4750.0,15.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=4500, Spiro_Oxid_Dur=18.00",4500.0,18.0,250.0,-3.0,0.21951296326887812
14,4850.0,16.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=5000, Spiro_Oxid_Dur=18.00",5000.0,18.0,-150.0,-2.0,0.13809523809523816
15,4950.0,17.0,15.52636842105263,0.9673912104924576,0.011661027056386053,17.422455193617846,"SnO2_Rpm=5000, Spiro_Oxid_Dur=18.00",5000.0,18.0,-50.0,-1.0,0.05812645531301777
